season,game_id,event_id,player_name,on_puck_mean_dist_ft,off_puck_mean_dist_ft,rel_on_puck_mean_dist_ft,rel_off_puck_mean_dist_ft,on_puck_frames,off_puck_frames
20252026,2025020339,327,Noah Cates,18.45475589976631,20.073169678765428,-13.694574140517084,-18.29631250386893,39,47
20252026,2025020363,1343,Noah Cates,,47.92012153447967,,1.7302756572566835,0,11
20252026,2025020339,223,Noah Cates,18.675884597251333,21.553981998400356,-8.370205153964864,-9.45189973423626,23,41
20252026,2025020363,885,Matvei Michkov,21.15516504478232,22.570488653293957,-4.786445482359358,-0.5062379859898698,4,87
20252026,2025020381,224,Matvei Michkov,35.19871691036636,32.09589748502251,,-3.543405605948898,15,50
20252026,2025020381,218,Noah Cates,,57.41689182169856,,,0,4
20252026,2025020395,563,Matvei Michkov,,35.310571262903615,,8.571493513119812,0,4
20252026,2025020395,253,Matvei Michkov,40.099605149563565,52.01111198358343,13.88041037609024,16.395176809278937,8,50
20252026,2025020423,105,Noah Cates,,21.81126513815754,,-0.0079833334176235,0,64
20252026,2025020423,293,Noah Cates,17.737158438832477,19.35316023720092,-10.249531641348458,-8.916465032089793,6,73
20252026,2025020423,109,Matvei Michkov,,24.15017920733898,,-2.4171614049550243,0,4
20252026,2025020453,78,Matvei Michkov,,17.494246405642166,,-9.071121509414676,0,1
20252026,2025020469,707,Noah Cates,,46.916983741725126,,,0,13
20252026,2025020521,709,Matvei Michkov,,40.41249174379572,,8.16328843931209,0,42
20252026,2025020521,709,Noah Cates,,58.10115381055239,,14.519188250444842,0,21
20252026,2025020535,185,Noah Cates,12.32202491480922,26.269417381314813,-13.718600563205516,2.195065268457114,2,60
20252026,2025020535,185,Matvei Michkov,,31.54451595941684,,5.125160238846753,0,62
